,chromosome,start,end
FKBP8,19,18531751,18544077
FKRP,19,46746046,46776988
FLT3LG,19,49474207,49486231
FOSB,19,45467995,45475179
FOXA3,19,45863989,45873797
FPR1,19,51745172,51804115
FPR2,19,51752026,51770531
FPR3,19,51795157,51826190
FSD1,19,4304598,4323843
FSTL3,19,676392,683392
FTL,19,48965309,48967896
FTLP5,19,3870991,3872107
FUT1,19,48748011,48755390
FUT2,19,48695971,48705951
FUT5,19,5865826,5870540
FUT6,19,5830408,5839722
FUZ,19,49806866,49817376
FXYD1,19,35138824,35143109
FXYD3,19,35115823,35124324
FXYD5,19,35154730,35171791
FXYD7,19,35143250,35154302
FZR1,19,3506311,3538334
GADD45B,19,2476122,2478805
GADD45GIP1,19,12953119,12957223
GALP,19,56176008,56185775
GAMT,19,1397026,1401570
GAPDHP38,19,46558641,46559642
GAPDHP76,19,11585246,11587135
GAPDHS,19,35533455,35545319
GARIN5A,19,50466785,50476848
GARIN5B,19,55354908,55363260
GATAD2A,19,19385826,19508932
GCDH,19,12891128,12915126
GDF1,19,18868545,18896158
GDF15,19,18374731,18389176
GEMIN7,19,45079195,45091518
GEMIN7-AS1,19,45076510,45092635
GET3,19,12737139,12748323
GFY,19,49423749,49428987
GGN,19,38384267,38388082
GIPC1,19,14477760,14496149
GIPC3,19,3585478,3593541
GIPR,19,45668221,45683722
GMIP,19,19629476,19643657
GNA11,19,3094362,3123999
GNA15,19,3136033,3163749
GNA15-DT,19,3141576,3155175
GNG14,19,12687998,12688422
GNG7,19,2511219,2702694
GNG8,19,46633953,46636541
GOLGA2P9,19,22596337,22603430
GP6-AS1,19,55006152,55054990
GPATCH1,19,33080899,33130542
GPI,19,34359480,34402413
GPR108,19,6729914,6737580
GPR32,19,50770464,50771732
GPR4,19,45589764,45602212
GPR42,19,35371068,35372962
GPX4,19,1103982,1106791
GRAMD1A,19,34994784,35026471
GRAMD1A-AS1,19,34998179,35000215
GRIK5,19,41998321,42070206
GRIN2D,19,48393668,48444931
GRIN3B,19,1000419,1009732
GRWD1,19,48445841,48457022
GSK3A,19,42226225,42242625
GTF2F1,19,6379572,6393981
GTPBP3,19,17334920,17342731
GYS1,19,48968130,48993310
GZMM,19,544034,549924
HAMP,19,35280716,35285143
HAPLN4,19,19254756,19262804
HAS1,19,51713112,51723991
HAUS5,19,35612735,35625355
HAUS5-DT,19,35608285,35612674
HAUS8,19,17049729,17075625
HCN2,19,589881,617159
HCST,19,35902529,35904377
HDGFL2,19,4472297,4502208
HIF3A,19,46297042,46343433
HIKESHIP2,19,10841839,10842250
HIPK4,19,40379271,40390181
HMG20B,19,3572777,3579088
HMGB2P1,19,1203209,1203842
HNRNPA1P10,19,11666069,11667030
HNRNPA1P52,19,41829692,41830938
HNRNPDLP4,19,58049046,58049346
HNRNPM,19,8444767,8489114
HNRNPMP2,19,46809585,46810183
HNRNPUL1,19,41262496,41307787
HOMER3,19,18929201,18941261
HOMER3-AS1,19,18940199,18947492
HOOK2,19,12763003,12872740
HPN,19,35040506,35066573
HPN-AS1,19,35027447,35106898
HRC,19,49151198,49155396
HSD11B1L,19,5680604,5688523
HSD17B14,19,48813018,48836510
HSH2D,19,16134028,16158575
HSPB6,19,35754566,35758079
HSPBP1,19,55262223,55280381
ICAM1,19,10271093,10286615
ICAM3,19,10333776,10339661
ICAM4,19,10286955,10288522
ICAM4-AS1,19,10285797,10289326
ICAM5,19,10289952,10296778
IER2,19,13150411,13156981
IFI30,19,18173162,18178117
IGFL1,19,46229742,46231243
IGFL1P1,19,46196238,46197323
IGFL1P2,19,46260420,46260858
IGFL2,19,46143106,46161298
IGFL2-AS1,19,46189029,46203163
IGFL3,19,46120067,46124688
IGFL4,19,46039182,46077118
IGFLR1,19,35738801,35742453
IGLON5,19,51311644,51330891
IGSF23,19,44613563,44636781
IL11,19,55364382,55370463
IL12RB1,19,18058995,18098944
IL4I1,19,49889654,49929539
ILF3,19,10654304,10692400
ILF3-DT,19,10651859,10653879
ILVBL,19,15114984,15125786
ILVBL-AS1,19,15124012,15126174
INAFM1,19,47274885,47275723
INSL3,19,17816512,17821574
INSR,19,7112255,7294414
IPO5P1,19,23255148,23255434
IQCN,19,18257098,18274500
IRF2BP1,19,45883608,45886141
IRF3,19,49659569,49665875
IRGC,19,43716076,43720021
IRGQ,19,43584367,43596134
ISOC2,19,55452985,55462343
ISYNA1,19,18434388,18438167
ITGB1P1,19,14621634,14622242
ITPKC,19,40717112,40740860
IZUMO1,19,48740852,48746909
IZUMO2,19,50152548,50163281
IZUMO4,19,2096429,2099593
JAK3,19,17824780,17848071
JOSD2,19,50505998,50511220
JSRP1,19,2252252,2269759
JUNB,19,12791486,12793315
JUND,19,18279694,18281622
KANK2,19,11164270,11197791
KANK3,19,8322584,8343262
KASH5,19,49388219,49417990
KCNA7,19,49067397,49072699
KCNC3,19,50311937,50333515
KCNJ14,19,48455574,48466980
KCNK6,19,38319845,38332076
KCNN1,19,17951293,18000085
KCNN4,19,43766533,43780976
KCTD15,19,33795933,33815763
KDELR1,19,48382575,48391551
KDM4B,19,4969113,5153611
KEAP1,19,10486125,10503558
KHSRP,19,6413102,6424811
KIRREL2,19,35855861,35867136
KISS1R,19,917287,921005
KLC3,19,45333434,45351520
KLF1,19,12884422,12887201
KLF16,19,1852399,1863579
KLF2,19,16324826,16328685
KLF2-DT,19,16283352,16325022
KLHL26,19,18637025,18671721
KLK1,19,50819146,50823787
KLK10,19,51012739,51020175
KLK11,19,51022216,51028039
KLK12,19,51029092,51035230
KLK13,19,51055626,51065114
KLK14,19,51077495,51084245
KLK15,19,50825289,50837213
KLK2,19,50861568,50880567
KLK3,19,50854915,50860764
KLK4,19,50906351,50911395
KLK5,19,50943303,50953093
KLK6,19,50958631,50969673
KLK7,19,50976468,50984099
KLK8,19,50996007,51002711
KLK9,19,51002508,51009634
KLKP1,19,50887866,50888268
KMT2B,19,35717973,35738880
KMT5C,19,55339853,55348121
KPTN,19,47475150,47484265
KRI1,19,10553085,10566031
KRT18P40,19,20961057,20965140
KRTDAP,19,35487324,35495558
KXD1,19,18557762,18569387
KXD1-AS1,19,18568506,18569375
LDLR,19,11089418,11133820
LETM1P2,19,58044592,58046769
LGALS13,19,39602524,39607474
LGALS14,19,39704481,39709444
LGALS16,19,39655913,39660647
LGI4,19,35124513,35142451
LHB,19,49015980,49017091
LIG1,19,48115445,48170603
LIM2,19,51379909,51387974
LIM2-AS1,19,51387085,51412636
LIMASI,19,10239048,10290813
LIN37,19,35748361,35754519
LIN7B,19,49114324,49118460
LINC00661,19,16015287,16027462
LINC00662,19,27681072,27794005
LINC00663,19,19749637,19776434
LINC00664,19,21483374,21503238
LINC00665,19,36259540,36331770
LINC00905,19,16031170,16066312
LINC00906,19,28883430,28970874
LINC01002,19,181465,246555
LINC01224,19,23399092,23416186
LINC01233,19,22532290,22537046
LINC01531,19,35399455,35419385
LINC01532,19,29002293,29015160
LINC01533,19,32025808,32074128
LINC01535,19,37251448,37267879
LINC01595,19,47863292,47865459
LINC01766,19,35557656,35601596
LINC01775,19,2458935,2462185
LINC01782,19,32102088,32105916
LINC01785,19,22615551,22623983
LINC01791,19,31167457,31225143
LINC01801,19,34788527,34860747
LINC01834,19,30719353,30909159
LINC01836,19,782119,787548
LINC01837,19,31791827,32072113
LINC01838,19,34904780,34908195
LINC01841,19,14304940,14370196
LINC01842,19,14333630,14344487
LINC01858,19,23046958,23063705
LINC01859,19,23015059,23031818
LINC01864,19,56066613,56078851
LINC01872,19,51271198,51281244
LINC02560,19,58400221,58400679
LINC02841,19,31520110,31554811
LINC02926,19,12552597,12553644
LINC02965,19,34837889,34872479
LINC02987,19,27793421,28007928
LINC03078,19,43323549,43331550
LINC03085,19,24146701,24147081
LINC03103,19,31583181,31593786
LINGO3,19,2287164,2308154
LIPE,19,42401497,42427388
LIPE-AS1,19,42387222,42796422
LMNB2,19,2427638,2456959
LMTK3,19,48485271,48513935
LNROP,19,42132555,42157523
LONP1,19,5691834,5720572
LPAR2,19,19623655,19628930
LRFN3,19,35935358,35946624
LRG1,19,4536402,4540036
LRP3,19,33177603,33208864
LRRC25,19,18391137,18397622
LRRC4B,19,50516892,50568435
LRRC8E,19,7888505,7902021
LSM4,19,18306236,18323112
LSM7,19,2321520,2328611
LSR,19,35248330,35267964
LTBP4,19,40592883,40629818
LYL1,19,13099033,13103161
LYPD3,19,43460787,43465608
LYPD4,19,41837074,41844697
LYPD5,19,43785874,43827206
LYPLA2P2,19,7879445,7880120
MADCAM1,19,489176,505343
MADCAM1-AS1,19,490046,532972
MAG,19,35292125,35313807
MAMSTR,19,48711737,48719725
MAN1A2P1,19,28790812,28792871
MAN2B1,19,12643831,12666742
MAP1S,19,17719242,17734513
MAP2K2,19,4090321,4124122
MAP2K7,19,7903843,7914478
MAP3K10,19,40191426,40215575
MAP4K1,19,38587641,38618882
MARCHF2,19,8413270,8439017
MARK4,19,45079288,45305284
MAST1,19,12833951,12874952
MAST3,19,18097778,18151692
MAST3-AS1,19,18144522,18151691
MATK,19,3777970,3802129
MAU2,19,19320829,19358754
MBD3,19,1573596,1592865
MBD3L2,19,7049321,7051735
MBD3L2B,19,7018969,7021431
MBD3L3,19,7056207,7069665
MBD3L5,19,7030578,7033011
MCEMP1,19,7677088,7679829
MCOLN1,19,7522624,7534009
MED25,19,49818282,49840383
MED26,19,16574907,16629062
MED29,19,39391303,39400641
MEF2B,19,19145567,19192131
MEGF8,19,42325609,42378769
MEIOSIN,19,45733439,45764541
MEIS3,19,47403124,47419527
MEX3D,19,1554672,1568325
MFSD12,19,3538261,3574290
MFSD12-AS1,19,3544199,3557569
MIA,19,40771648,40777490
MIA-RAB4B,19,40771648,40796943
MICOS13,19,5678421,5680516
MIDN,19,1248553,1259143
MIER2,19,305573,344815
MIMT1,19,56840853,56848560
MIR1181,19,10403458,10403538
MIR1227,19,2234062,2234149
MIR1270,19,20399272,20399354
MIR1323,19,53671968,53672040
MIR150,19,49500785,49500868
MIR3188,19,18282077,18282161
MIR320E,19,46709293,46709345
MIR373,19,53788705,53788773
MIR3940,19,6416410,6416511
MIR4323,19,42133445,42133513
MIR4324,19,49308797,49308868
MIR4530,19,39409623,39409678
MIR4748,19,10780254,10780335
MIR4751,19,49933064,49933137
MIR4754,19,58386770,58386858
MIR4999,19,8389290,8389380
MIR512-2,19,53669157,53669254
MIR516B1,19,53736845,53736934
MIR518A2,19,53739333,53739419
MIR520C,19,53707453,53707539
MIR520D,19,53720096,53720182
MIR520E,19,53675711,53675797
MIR520G,19,53722166,53722255
MIR521-2,19,53716594,53716680
MIR526A1,19,53706252,53706336
MIR5695,19,12920320,12920404
MIR639,19,14529543,14529640
MIR640,19,19435063,19435158
MIR642A,19,45674928,45675024
MIR643,19,52281797,52281893
MIR6515,19,12940484,12940540
MIR6790,19,6392921,6392983
MIR6792,19,7617439,7617505
MIR6797,19,41869627,41869698
MIR6801,19,52222020,52222098
MIR6807,19,58550285,58550376
MIR6885,19,6389638,6389703
MIR6886,19,11113474,11113534
MIR7-3HG,19,4769031,4785077
MISP,19,751112,764318
MKNK2,19,2037465,2051244
MLLT1,19,6210381,6279975
MOB3A,19,2071036,2096673
MPND,19,4343527,4360086
MPV17L2,19,18193218,18196948
MRI1,19,13764522,13774282
MRPL34,19,17292609,17306843
MRPL4,19,10251901,10260055
MRPL54,19,3762682,3768575
MTATP6P27,19,12506249,12508030
MTCO1P27,19,12504665,12504890
MTCO2P27,19,12504905,12505976
MTDHP2,19,21940820,21941533
MTDHP3,19,21677550,21678221
MTDHP4,19,21709522,21710191
MTDHP5,19,22140532,22141117
MTND2P40,19,12502675,12504106
MVB12A,19,17405722,17433724
MYADM,19,53864763,53878125
MYADM-AS1,19,53847198,53870151
MYADM-AS2,19,53869654,53876435
MYBPC2,19,50432892,50466321
MYDGF,19,4641374,4670362
MYH14,19,50188186,50310542
MYO1F,19,8517463,8577442
MYO9B,19,17075777,17214537
MYPOP,19,45890023,45902613
MYREM,19,50486560,50502014
MZF1,19,58561931,58573575
MZF1-AS1,19,58558591,58605223
NACC1,19,13116862,13141147
NANOS2,19,45913214,45914778
NAPA,19,47487637,47515091
NAPA-AS1,19,47484282,47502399
NAPSA,19,50358472,50365830
NAPSB,19,50333877,50344761
NAT14,19,55485188,55487568
NCAN,19,19211958,19252233
NCCRP1,19,39196964,39201884
NCLN,19,3185563,3209575
NDUFA13,19,19515736,19529054
NDUFA3P1,19,44297104,44297355
NDUFA7,19,8308768,8321375
NDUFB7,19,14566078,14572066
NDUFS7,19,1383527,1395589
NDUFV2P1,19,53223973,53224879
NECTIN2,19,44846175,44889223
NFIC,19,3314403,3469217
NFILZ,19,8630633,8681151
NFIX,19,12995475,13098796
NFKBID,19,35887630,35902303
NIBAN3,19,17523301,17553839
NIFKP6,19,51396755,51403526
NKG7,19,51371606,51372701
NKPD1,19,45149744,45160982
NLRP11,19,55785397,55836800
NLRP12,19,53792139,53824403
NLRP13,19,55891699,55932336
NLRP4,19,55836540,55881855
NLRP5,19,55999726,56061810
NLRP8,19,55947832,55988629
NLRP9,19,55708438,55738402
NMRK2,19,3933069,3942416
NOP53,19,47745546,47757058
NOP53-AS1,19,47757036,47778402
NOSIP,19,49555468,49590262
NOTCH3,19,15159038,15200995
NOVA2,19,45933734,45974044
NPAS1,19,47019837,47045775
NPHS1,19,35825372,35869287
NR1H2,19,50329653,50383388
NR2C2AP,19,19201409,19203414
NR2F6,19,17231883,17245919
NRTN,19,5805067,5828324
NTF4,19,49061066,49065076
NTN5,19,48661407,48673081
NUCB1,19,48900050,48923473
NUCB1-AS1,19,48910930,48918926
NUDT19,19,32691821,32713792
NUDT19-DT,19,32686680,32700147
NUMBL,19,40665905,40690972
NUP62,19,49906825,49929764
NWD1,19,16719847,16817963
NXNL1,19,17455425,17460926
OAZ1,19,2269509,2273492
OCEL1,19,17226213,17229219
ODAD1,19,48296457,48321971
ODAD3,19,11420604,11435782
OLFM2,19,9853718,9936515
ONECUT3,19,1753506,1780988
OPA3,19,45527767,45602212
OR10H1,19,15804549,15815664
OR10H2,19,15728024,15729052
OR10H3,19,15737985,15742343
OR10H4,19,15944299,15950350
OR10H5,19,15787661,15800357
OR1AB1P,19,16051929,16052689
OR1I1,19,15082211,15092970
OR1M1,19,9087061,9095669
OR2Z1,19,8721634,8732160
OR4F17,19,107104,117102
OR4F8P,19,156279,157215
OR4G1P,19,104535,105472
OR4G3P,19,94062,94974
OR5AH1P,19,56760933,56761215
OR7A10,19,14840466,14848922
OR7A11P,19,14916428,14917380
OR7A17,19,14878203,14886132
OR7A2P,19,14863786,14864715
OR7A3P,19,14903232,14904138
OR7A5,19,14826241,14835185
OR7A8P,19,14852032,14852944
OR7C1,19,14789260,14835376
OR7C2,19,14941489,14942448
OR7D2,19,9178979,9188818
OR7D4,19,9210276,9219589
OR7E16P,19,9191286,9192170
OR7E19P,19,9265440,9266283
OR7E24,19,9247344,9252625
OR7E25P,19,9204305,9205235
OR7G1,19,9114828,9115763
OR7G2,19,9100407,9107475
OR7H1P,19,9278448,9279369
OSTCP3,19,53616802,53617254
OVOL3,19,36111143,36113711
P2RY11,19,10111693,10115372
PABPN1P2,19,52809824,52810708
PAF1,19,39385629,39391154
PAFAH1B3,19,42297033,42303546
PAK4,19,39125770,39182816
PALM,19,708935,748329
PBX4,19,19561707,19618693
PCAT19,19,41449520,41502015
PCGF7P,19,22137931,22138981
PCP2,19,7631611,7633719
PCSK4,19,1481428,1490752
PDCD2L,19,34404399,34426168
PDCD5,19,32581190,32587453
PDE4A,19,10416773,10469630
PDE4C,19,18207965,18248200
PEAK3,19,2274631,2282175
PEG3,19,56810077,56840728
PEPD,19,33386950,33521823
PET100,19,7629788,7631956
PEX11G,19,7476875,7497449
PGK1P2,19,12559571,12561105
PGLS,19,17511636,17521288
PGLS-DT,19,17488990,17511889
PGLYRP1,19,46019153,46023053
PGLYRP2,19,15468645,15498956
PGPEP1,19,18340598,18369950
PHF5AP1,19,19588091,19588415
PHLDB3,19,43474341,43504935
PIAS4,19,4007736,4039386
PIH1D1,19,49446298,49453497
PIK3R2,19,18153163,18170540
PIN1,19,9835257,9849689
PIN1-DT,19,9829496,9835147
PINLYP,19,43575801,43583964
PIP5K1C,19,3630183,3700468
PKMYT1AR,19,57477308,57482996
PKN1,19,14433053,14471867
PLA2G4C,19,48047843,48110817
PLA2G4C-AS1,19,48061371,48064945
PLAUR,19,43646095,43670547
PLD3,19,40348456,40389472
PLEKHA4,19,48837092,48868617
PLEKHF1,19,29665459,29675477
PLEKHG2,19,39412669,39428415
PLEKHJ1,19,2230084,2237704
PLIN3,19,4838341,4867694
PLIN4,19,4502192,4518486
PLIN5,19,4522531,4535224
PLK5,19,1508023,1536046
PLPP2,19,281040,291403
PLPPR2,19,11355386,11365698
PLVAP,19,17351450,17377342
PMIS2,19,35586161,35587296
PNKP,19,49859882,49878351
PNMA8A,19,46466491,46471563
PNMA8B,19,46486906,46495879
PNMA8C,19,46424697,46428936
PNPLA6,19,7534004,7561764
POLD1,19,50384204,50418018
POLR1G,19,45406644,45410737
POLR2E,19,1086574,1095380
POLR2I,19,36113709,36115213
POLRMT,19,617221,633537
POP4,19,29606283,29617237
POU2F2,19,42086110,42196585
PPAN,19,10106362,10112012
PPAN-P2RY11,19,10106223,10114780
PPFIA3,19,49119544,49151026
PPIAP20,19,12508129,12508263
PPIAP58,19,29921182,29921653
PPIAP59,19,50927079,50927571
PPM1N,19,45488777,45503129
PPP1R12C,19,55090914,55117637
PPP1R13L,19,45379638,45406349
PPP1R14A,19,38251237,38256532
PPP1R15A,19,48872212,48876059
PPP1R37,19,45091396,45148077
PPP2R1A,19,52170936,52229518
PPP5C,19,46347087,46392981
PPP5D1P,19,46525663,46527072
PPP6R1,19,55229779,55259017
PRAM1,19,8490056,8502640
PRDX2,19,12796820,12801800
PRKCG,19,53879190,53907652
PRKCSH,19,11435284,11450968
PRKD2,19,46674275,46717127
PRMT1,19,49675786,49689029
PRODH2,19,35799988,35813299
PROSER3,19,35758143,35771166
PRR12,19,49591182,49626439
PRR19,19,42302098,42310814
PRR22,19,5782960,5784746
PRR36,19,7868719,7874390
PRRG2,19,49580646,49591004
PRSS57,19,685546,695498
PRX,19,40393766,40414793
PSENEN,19,35745600,35747519
PSG1,19,42866464,42879822
PSG10P,19,42844357,42855619
PSG11,19,43007656,43026474
PSG11-AS1,19,42977463,43171515
PSG2,19,43064209,43083045
PSG3,19,42721638,42740481
PSG4,19,43192702,43207299
PSG5,19,43166256,43186536
PSG6,19,42902086,42919563
PSG7,19,42924132,42937207
PSG8,19,42752686,42765678
PSG8-AS1,19,42821770,42826879
PSG9,19,43211791,43269530
PSMD8,19,38374563,38383850
PSPN,19,6375148,6379058
PTBP1,19,797075,812327
PTGER1,19,14472466,14475354
PTGIR,19,46618550,46625089
PTH2,19,49422419,49423441
PTOV1,19,49850735,49860744
PTOV1-AS1,19,49838639,49851687
PTOV1-AS2,19,49856970,49859289
PTPRH,19,55181247,55209506
PTPRS,19,5158495,5340812
PTPRS-AS1,19,5178119,5178464
PVR,19,44643798,44666162
PWWP3A,19,1354711,1378431
QPCTL,19,45692403,45703989
QTRT1,19,10701430,10713437
R3HDM4,19,896503,913245
RAB11B,19,8389981,8404434
RAB11B-AS1,19,8368304,8390685
RAB3A,19,18196784,18204042
RAB3D,19,11322068,11346270
RAB4B,19,40778216,40796942
RAB4B-EGLN2,19,40778242,40808418
RAB8A,19,16111889,16134234
RABAC1,19,41956681,41959321
RAD23A,19,12945855,12953642
RAD54L2P1,19,22609606,22610601
RANBP3,19,5916139,5978142
RANBP3-DT,19,5978176,6020363
RASAL3,19,15451624,15464544
RASGRP4,19,38409051,38426305
RASIP1,19,48720585,48740610
RAVER1,19,10316212,10333529
RAX2,19,3769089,3772228
RBM42,19,35629030,35637686
RCN3,19,49528003,49546962
RDH8,19,10013249,10022279
REEP6,19,1491166,1497927
RELB,19,45001461,45038192
RETN,19,7669049,7670455
REX1BD,19,18588685,18592337
REXO1,19,1815248,1848483
RFPL4A,19,55759097,55763421
RFPL4AL1,19,55769118,55773420
RFPL4AP1,19,55777553,55778900
RFX2,19,5993164,6199572
RFXANK,19,19192229,19201869
RGL3,19,11384341,11419328
RGS9BP,19,32675848,32678300
RHPN2,19,32978592,33064888
RN7SKP109,19,55737285,55737600
RN7SKP22,19,32862800,32863092
RN7SL121P,19,2595019,2595291
RN7SL146P,19,16539688,16539984
RN7SL150P,19,33927364,33927625
RN7SL154P,19,34421988,34422311
RN7SL155P,19,18631646,18631908
RN7SL192P,19,11011708,11012006
RN7SL202P,19,3920245,3920506
RN7SL317P,19,53629713,53630041
RN7SL322P,19,47581023,47581321
RN7SL337P,19,14584095,14584395
RN7SL340P,19,29233090,29233385
RN7SL34P,19,41286424,41286693
RN7SL364P,19,46688797,46689068
RN7SL368P,19,43660500,43660776
RN7SL402P,19,35881890,35882153
RN7SL477P,19,1570575,1570860
RN7SL491P,19,35414881,35415149
RN7SL513P,19,18333276,18333573
RN7SL525P,19,58543299,58543578
RN7SL526P,19,58069970,58070288
RN7SL566P,19,39369153,39369448
RN7SL663P,19,38200234,38200532
RN7SL693P,19,58490797,58491075
RN7SL708P,19,49081332,49081630
RN7SL70P,19,18957957,18958258
RN7SL718P,19,41190927,41191229
RN7SL789P,19,32655016,32655308
RN7SL823P,19,16910490,16910784
RN7SL833P,19,11516047,11516330
RN7SL835P,19,16907462,16907723
RN7SL836P,19,45651510,45651805
RN7SL842P,19,14588357,14588656
RN7SL860P,19,22601485,22601707
RNA5SP464,19,11996809,11996916
RNA5SP465,19,12027913,12028021
RNA5SP466,19,12070164,12070271
RNA5SP467,19,12106497,12106614
RNA5SP469,19,21113128,21113236
RNA5SP472,19,32243965,32244083
RNA5SP473,19,58363438,58363562
RNASEH2A,19,12806584,12813640
RNF126,19,647526,663233
RNF225,19,58395656,58397079
RNU4-60P,19,42472875,42473009
RNU6-1076P,19,223158,223261
RNU6-1179P,19,22555261,22555367
RNU6-1223P,19,1616492,1616595
RNU6-1307P,19,54263951,54264053
RNU6-1337P,19,58483749,58483843
RNU6-195P,19,40708055,40708163
RNU6-2,19,1021522,1021628
RNU6-317P,19,48793152,48793258
RNU6-611P,19,45047458,45047561
RNU6-782P,19,15145215,15145318
RNU6-9,19,893484,893590
RNU6-924P,19,46306470,46306577
RNU6-945P,19,40299478,40299584
RNU6-982P,19,53745004,53745105
RNU6-993P,19,2503047,2503141
RNU7-140P,19,10551033,10551092
RPL10P15,19,9820141,9820455
RPL10P16,19,12643275,12643919
RPL12P41,19,46219423,46219920
RPL12P42,19,13157959,13158788
RPL13A,19,49487510,49493057
RPL17P47,19,12142371,12142893
RPL18,19,48615328,48619184
RPL18A,19,17859910,17864153
RPL21P129,19,7750684,7751161
RPL21P130,19,17589595,17590071
RPL21P131,19,33589206,33589688
RPL23AP2,19,15611657,15612122
RPL23AP78,19,8728735,8729204
RPL23AP80,19,47794467,47794890
RPL28,19,55385932,55403250
RPL29P33,19,34296277,34296592
RPL31P60,19,32963499,32963865
RPL31P61,19,36901742,36902117
RPL32P34,19,5277734,5278133
RPL34P33,19,22699352,22699685
RPL34P34,19,22368599,22368952
RPL36,19,5674947,5691875
RPL36AP50,19,54973817,54974417
RPL36AP51,19,21233335,21233652
RPL36P16,19,41169861,41170166
RPL37P23,19,52143043,52143336
RPL39P34,19,52564076,52564231
RPL39P36,19,53413190,53413345
RPL39P38,19,18285343,18285495
RPL7AP10,19,21149648,21150438
RPL7AP69,19,57065334,57066139
RPL7P50,19,6593329,6594055
RPL7P51,19,51648862,51649610
RPL9P32,19,29956369,29956988
RPL9P33,19,51621136,51621701
RPS10P28,19,42670005,42670816
RPS11,19,49496365,49499708
RPS12P31,19,32636078,32636475
RPS15,19,1438358,1440495
RPS15AP36,19,58216180,58216561
RPS15P9,19,1307401,1307719
RPS16,19,39433137,39435949
RPS16P9,19,45332698,45333124
RPS18P13,19,18048637,18049090
RPS19,19,41860255,41872925
RPS26P55,19,34533427,34534084
RPS27AP19,19,7665717,7666476
RPS27P29,19,23597341,23597592
RPS28,19,8321158,8323340
RPS29P23,19,12373609,12373731
RPS29P24,19,39588955,39589125
RPS29P25,19,39590981,39591151
RPS29P26,19,39597832,39598002
RPS29P27,19,39697904,39698073
RPS29P30,19,39644502,39644612
RPS2P52,19,690353,691172
RPS3AP50,19,33340686,33341984
RPS4XP20,19,34022656,34023427
RPS4XP21,19,34092561,34093310
RPS4XP22,19,9683294,9684073
RPS4XP23,19,34021659,34021895
RPS5,19,58386400,58394806
RPS6P25,19,12894133,12894880
RPSA2,19,23762944,23871162
RRAS,19,49635292,49640143
RSL24D1P8,19,12096424,12096915
RSPH6A,19,45795713,45815308
RTBDN,19,12825478,12835428
RTN2,19,45485294,45497055
RUVBL2,19,48993562,49015970
RYR1,19,38433691,38595273
S1PR2,19,10221433,10231331
S1PR4,19,3172346,3180332
S1PR5,19,10512742,10517931
SAE1,19,47113274,47210636
SAFB,19,5623035,5668478
SAFB2,19,5586981,5624046
SAMD4B,19,39342421,39385710
SAXO3,19,49017968,49020549
SAXO5,19,7492976,7508450
SBK2,19,55528611,55537133
SBK3,19,55540656,55545543
SBNO2,19,1107637,1174268
SBSN,19,35523367,35528351
SCAF1,19,49642209,49658642
SCAMP4,19,1905214,1926013
SCGB1B2P,19,34576727,34668193
SCGB2B2,19,34590644,34677159
SCN1B,19,35030470,35040449
SDHAF1,19,35995188,35996312
SEC1P,19,48673174,48681047
SELENOKP1,19,37693280,37693564
SELENOV,19,39515139,39520675
SELENOW,19,47778677,47784686
SEMA6B,19,4542588,4581776
SEPTIN14P19,19,191115,191325
SEPTIN7P8,19,53772506,53773280
SERTAD1,19,40421589,40425992
SERTAD3,19,40440844,40444335
SERTAD3-AS1,19,40443436,40444087
SF3A2,19,2236824,2248655
SGTA,19,2754715,2783362
SH2D3A,19,6752160,6767463
SH3GL1,19,4360370,4400547
SHANK1,19,50659255,50719802
SHC2,19,416589,461033
SHD,19,4279266,4290722
SHFL,19,10086122,10093252
SHISA7,19,55428740,55443300
SHKBP1,19,40576853,40591399
SIGLEC10,19,51410020,51417803
SIGLEC10-AS1,19,51415724,51417425
SIGLEC10-AS2,19,51414298,51414965
SIGLEC11,19,49948985,49961172
SIGLEC12,19,51491227,51501800
SIGLEC14,19,51639478,51646825
SIGLEC16,19,49969600,49975819
SIGLEC17P,19,51167338,51167883
SIGLEC18P,19,51119987,51122965
SIGLEC20P,19,51184905,51190809
SIGLEC22P,19,51211110,51212088
SIGLEC24P,19,51280794,51299221
SIGLEC27P,19,51508573,51509311
SIGLEC31P,19,56589495,56590281
SIGLEC5,19,51630101,51645545
SIGLEC6,19,51517819,51531856
SIGLEC7,19,51142299,51153526
SIGLEC8,19,51450847,51458456
SIGLEC9,19,51124906,51136651
SIGLECL1,19,51246348,51269330
SIN3B,19,16829398,16880353
SIPA1L3,19,37907208,38208369
SIRT6,19,4174109,4182566
SIX5,19,45764785,45769252
SLC17A7,19,49429401,49442360
SLC1A5,19,46774883,46788594
SLC1A6,19,14950033,15022990
SLC25A1P5,19,27805423,27806205
SLC25A23,19,6436079,6465203
SLC25A36P1,19,56386226,56386690
SLC25A41,19,6426037,6433779
SLC25A42,19,19063994,19113030
SLC27A1,19,17468769,17506168
SLC27A5,19,58479512,58512413
SLC35E1,19,16549831,16572415
SLC39A3,19,2732204,2740028
SLC44A2,19,10602457,10644557
SLC5A5,19,17871945,17895174
SLC6A16,19,49289638,49325215
SLC6A21P,19,49255472,49256102
SLC7A10,19,33208664,33225850
SLC7A9,19,32830509,32869767
SLC8A2,19,47428017,47471893
SMARCA4,19,10960932,11079426
SMG9,19,43727983,43754962
